areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E07000082,Stroud,ltla,2022-01-25,00_04,3,38,661.8
E07000082,Stroud,ltla,2022-01-25,00_59,168,1071,1257.8
E07000082,Stroud,ltla,2022-01-25,05_09,22,190,2716.6
E07000082,Stroud,ltla,2022-01-25,10_14,29,153,2080.8
E07000082,Stroud,ltla,2022-01-25,15_19,17,68,1061.0
E07000082,Stroud,ltla,2022-01-25,20_24,9,40,772.5
E07000082,Stroud,ltla,2022-01-25,25_29,10,59,1000.0
E07000082,Stroud,ltla,2022-01-25,30_34,18,89,1429.7
E07000082,Stroud,ltla,2022-01-25,35_39,7,103,1555.7
E07000082,Stroud,ltla,2022-01-25,40_44,22,131,1845.1
E07000082,Stroud,ltla,2022-01-25,45_49,12,95,1071.5
E07000082,Stroud,ltla,2022-01-25,50_54,13,52,552.2
E07000082,Stroud,ltla,2022-01-25,55_59,6,53,567.0
E07000082,Stroud,ltla,2022-01-25,60+,18,107,299.3
E07000082,Stroud,ltla,2022-01-25,60_64,3,35,423.5
E07000082,Stroud,ltla,2022-01-25,65_69,5,19,256.7
E07000082,Stroud,ltla,2022-01-25,70_74,2,18,236.5
E07000082,Stroud,ltla,2022-01-25,75_79,3,13,242.4
E07000082,Stroud,ltla,2022-01-25,80_84,1,9,242.0
E07000082,Stroud,ltla,2022-01-25,85_89,2,8,340.4
E07000082,Stroud,ltla,2022-01-25,90+,2,5,479.8
E07000082,Stroud,ltla,2022-01-25,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-24,00_04,4,45,783.7
E07000082,Stroud,ltla,2022-01-24,00_59,204,1061,1246.0
E07000082,Stroud,ltla,2022-01-24,05_09,42,197,2816.7
E07000082,Stroud,ltla,2022-01-24,10_14,27,141,1917.6
E07000082,Stroud,ltla,2022-01-24,15_19,13,62,967.4
E07000082,Stroud,ltla,2022-01-24,20_24,4,43,830.4
E07000082,Stroud,ltla,2022-01-24,25_29,10,59,1000.0
E07000082,Stroud,ltla,2022-01-24,30_34,20,85,1365.5
E07000082,Stroud,ltla,2022-01-24,35_39,15,114,1721.8
E07000082,Stroud,ltla,2022-01-24,40_44,25,120,1690.1
E07000082,Stroud,ltla,2022-01-24,45_49,20,96,1082.8
E07000082,Stroud,ltla,2022-01-24,50_54,8,46,488.5
E07000082,Stroud,ltla,2022-01-24,55_59,16,53,567.0
E07000082,Stroud,ltla,2022-01-24,60+,14,97,271.3
E07000082,Stroud,ltla,2022-01-24,60_64,9,34,411.4
E07000082,Stroud,ltla,2022-01-24,65_69,1,15,202.6
E07000082,Stroud,ltla,2022-01-24,70_74,2,17,223.4
E07000082,Stroud,ltla,2022-01-24,75_79,2,13,242.4
E07000082,Stroud,ltla,2022-01-24,80_84,0,8,215.1
E07000082,Stroud,ltla,2022-01-24,85_89,0,7,297.9
E07000082,Stroud,ltla,2022-01-24,90+,0,3,287.9
E07000082,Stroud,ltla,2022-01-24,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-23,00_04,7,49,853.4
E07000082,Stroud,ltla,2022-01-23,00_59,155,1023,1201.4
E07000082,Stroud,ltla,2022-01-23,05_09,25,188,2688.0
E07000082,Stroud,ltla,2022-01-23,10_14,27,138,1876.8
E07000082,Stroud,ltla,2022-01-23,15_19,3,62,967.4
E07000082,Stroud,ltla,2022-01-23,20_24,7,43,830.4
E07000082,Stroud,ltla,2022-01-23,25_29,6,57,966.1
E07000082,Stroud,ltla,2022-01-23,30_34,12,73,1172.7
E07000082,Stroud,ltla,2022-01-23,35_39,15,110,1661.4
E07000082,Stroud,ltla,2022-01-23,40_44,22,114,1605.6
E07000082,Stroud,ltla,2022-01-23,45_49,15,86,970.0
E07000082,Stroud,ltla,2022-01-23,50_54,9,54,573.4
E07000082,Stroud,ltla,2022-01-23,55_59,7,49,524.2
E07000082,Stroud,ltla,2022-01-23,60+,14,92,257.3
E07000082,Stroud,ltla,2022-01-23,60_64,4,29,350.9
E07000082,Stroud,ltla,2022-01-23,65_69,6,16,216.2
E07000082,Stroud,ltla,2022-01-23,70_74,2,16,210.2
E07000082,Stroud,ltla,2022-01-23,75_79,1,11,205.1
E07000082,Stroud,ltla,2022-01-23,80_84,1,8,215.1
E07000082,Stroud,ltla,2022-01-23,85_89,0,7,297.9
E07000082,Stroud,ltla,2022-01-23,90+,0,5,479.8
E07000082,Stroud,ltla,2022-01-23,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-22,00_04,6,49,853.4
E07000082,Stroud,ltla,2022-01-22,00_59,129,990,1162.6
E07000082,Stroud,ltla,2022-01-22,05_09,31,190,2716.6
E07000082,Stroud,ltla,2022-01-22,10_14,20,129,1754.4
E07000082,Stroud,ltla,2022-01-22,15_19,9,68,1061.0
E07000082,Stroud,ltla,2022-01-22,20_24,5,43,830.4
E07000082,Stroud,ltla,2022-01-22,25_29,4,59,1000.0
E07000082,Stroud,ltla,2022-01-22,30_34,6,67,1076.3
E07000082,Stroud,ltla,2022-01-22,35_39,11,103,1555.7
E07000082,Stroud,ltla,2022-01-22,40_44,12,99,1394.4
E07000082,Stroud,ltla,2022-01-22,45_49,13,83,936.2
E07000082,Stroud,ltla,2022-01-22,50_54,6,49,520.3
E07000082,Stroud,ltla,2022-01-22,55_59,6,51,545.6
E07000082,Stroud,ltla,2022-01-22,60+,13,85,237.8
E07000082,Stroud,ltla,2022-01-22,60_64,7,29,350.9
E07000082,Stroud,ltla,2022-01-22,65_69,2,12,162.1
E07000082,Stroud,ltla,2022-01-22,70_74,3,14,183.9
E07000082,Stroud,ltla,2022-01-22,75_79,1,10,186.5
E07000082,Stroud,ltla,2022-01-22,80_84,0,7,188.2
E07000082,Stroud,ltla,2022-01-22,85_89,0,7,297.9
E07000082,Stroud,ltla,2022-01-22,90+,0,6,575.8
E07000082,Stroud,ltla,2022-01-22,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-21,00_04,8,46,801.1
E07000082,Stroud,ltla,2022-01-21,00_59,151,936,1099.2
E07000082,Stroud,ltla,2022-01-21,05_09,28,172,2459.3
E07000082,Stroud,ltla,2022-01-21,10_14,15,124,1686.4
E07000082,Stroud,ltla,2022-01-21,15_19,11,60,936.2
E07000082,Stroud,ltla,2022-01-21,20_24,6,42,811.1
E07000082,Stroud,ltla,2022-01-21,25_29,8,59,1000.0
E07000082,Stroud,ltla,2022-01-21,30_34,6,67,1076.3
E07000082,Stroud,ltla,2022-01-21,35_39,19,100,1510.3
E07000082,Stroud,ltla,2022-01-21,40_44,18,90,1267.6
E07000082,Stroud,ltla,2022-01-21,45_49,16,79,891.0
E07000082,Stroud,ltla,2022-01-21,50_54,4,46,488.5
E07000082,Stroud,ltla,2022-01-21,55_59,12,51,545.6
E07000082,Stroud,ltla,2022-01-21,60+,23,81,226.6
E07000082,Stroud,ltla,2022-01-21,60_64,5,24,290.4
E07000082,Stroud,ltla,2022-01-21,65_69,1,15,202.6
E07000082,Stroud,ltla,2022-01-21,70_74,4,12,157.7
E07000082,Stroud,ltla,2022-01-21,75_79,1,9,167.8
E07000082,Stroud,ltla,2022-01-21,80_84,5,8,215.1
E07000082,Stroud,ltla,2022-01-21,85_89,5,7,297.9
E07000082,Stroud,ltla,2022-01-21,90+,2,6,575.8
E07000082,Stroud,ltla,2022-01-21,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-20,00_04,5,44,766.3
E07000082,Stroud,ltla,2022-01-20,00_59,137,883,1037.0
E07000082,Stroud,ltla,2022-01-20,05_09,26,158,2259.1
E07000082,Stroud,ltla,2022-01-20,10_14,19,121,1645.6
E07000082,Stroud,ltla,2022-01-20,15_19,8,57,889.4
E07000082,Stroud,ltla,2022-01-20,20_24,3,41,791.8
E07000082,Stroud,ltla,2022-01-20,25_29,9,57,966.1
E07000082,Stroud,ltla,2022-01-20,30_34,16,66,1060.2
E07000082,Stroud,ltla,2022-01-20,35_39,15,92,1389.5
E07000082,Stroud,ltla,2022-01-20,40_44,15,83,1169.0
E07000082,Stroud,ltla,2022-01-20,45_49,11,69,778.3
E07000082,Stroud,ltla,2022-01-20,50_54,8,49,520.3
E07000082,Stroud,ltla,2022-01-20,55_59,2,46,492.1
E07000082,Stroud,ltla,2022-01-20,60+,12,83,232.2
E07000082,Stroud,ltla,2022-01-20,60_64,3,25,302.5
E07000082,Stroud,ltla,2022-01-20,65_69,1,21,283.7
E07000082,Stroud,ltla,2022-01-20,70_74,3,9,118.2
E07000082,Stroud,ltla,2022-01-20,75_79,4,13,242.4
E07000082,Stroud,ltla,2022-01-20,80_84,1,7,188.2
E07000082,Stroud,ltla,2022-01-20,85_89,0,2,85.1
E07000082,Stroud,ltla,2022-01-20,90+,0,6,575.8
E07000082,Stroud,ltla,2022-01-20,unassigned,0,0,
E07000082,Stroud,ltla,2022-01-19,00_04,5,43,748.9
E07000082,Stroud,ltla,2022-01-19,00_59,127,827,971.2
E07000082,Stroud,ltla,2022-01-19,05_09,16,140,2001.7
E07000082,Stroud,ltla,2022-01-19,10_14,16,119,1618.4
E07000082,Stroud,ltla,2022-01-19,15_19,7,55,858.2
E07000082,Stroud,ltla,2022-01-19,20_24,6,43,830.4
E07000082,Stroud,ltla,2022-01-19,25_29,12,50,847.5
E07000082,Stroud,ltla,2022-01-19,30_34,11,61,979.9
E07000082,Stroud,ltla,2022-01-19,35_39,21,83,1253.6
E07000082,Stroud,ltla,2022-01-19,40_44,17,78,1098.6
E07000082,Stroud,ltla,2022-01-19,45_49,8,65,733.1
E07000082,Stroud,ltla,2022-01-19,50_54,4,43,456.6
E07000082,Stroud,ltla,2022-01-19,55_59,4,47,502.8
E07000082,Stroud,ltla,2022-01-19,60+,13,88,246.1
E07000082,Stroud,ltla,2022-01-19,60_64,4,27,326.7
E07000082,Stroud,ltla,2022-01-19,65_69,3,25,337.7
E07000082,Stroud,ltla,2022-01-19,70_74,2,8,105.1
E07000082,Stroud,ltla,2022-01-19,75_79,1,10,186.5
