areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E07000008,Cambridge,ltla,2022-01-25,00_04,12,82,1190.8
E07000008,Cambridge,ltla,2022-01-25,00_59,361,2075,2009.1
E07000008,Cambridge,ltla,2022-01-25,05_09,38,309,4324.1
E07000008,Cambridge,ltla,2022-01-25,10_14,39,295,4296.5
E07000008,Cambridge,ltla,2022-01-25,15_19,41,160,1717.1
E07000008,Cambridge,ltla,2022-01-25,20_24,64,221,1097.2
E07000008,Cambridge,ltla,2022-01-25,25_29,29,168,1347.8
E07000008,Cambridge,ltla,2022-01-25,30_34,31,164,2242.3
E07000008,Cambridge,ltla,2022-01-25,35_39,29,195,2974.8
E07000008,Cambridge,ltla,2022-01-25,40_44,34,213,3144.4
E07000008,Cambridge,ltla,2022-01-25,45_49,22,137,2080.5
E07000008,Cambridge,ltla,2022-01-25,50_54,12,80,1164.5
E07000008,Cambridge,ltla,2022-01-25,55_59,10,51,802.0
E07000008,Cambridge,ltla,2022-01-25,60+,17,110,505.0
E07000008,Cambridge,ltla,2022-01-25,60_64,6,25,486.9
E07000008,Cambridge,ltla,2022-01-25,65_69,2,17,373.7
E07000008,Cambridge,ltla,2022-01-25,70_74,2,14,346.9
E07000008,Cambridge,ltla,2022-01-25,75_79,5,13,436.2
E07000008,Cambridge,ltla,2022-01-25,80_84,0,18,782.6
E07000008,Cambridge,ltla,2022-01-25,85_89,2,13,797.5
E07000008,Cambridge,ltla,2022-01-25,90+,0,10,867.3
E07000008,Cambridge,ltla,2022-01-25,unassigned,0,0,
E07000008,Cambridge,ltla,2022-01-24,00_04,12,88,1278.0
E07000008,Cambridge,ltla,2022-01-24,00_59,359,2013,1949.1
E07000008,Cambridge,ltla,2022-01-24,05_09,45,335,4687.9
E07000008,Cambridge,ltla,2022-01-24,10_14,64,295,4296.5
E07000008,Cambridge,ltla,2022-01-24,15_19,27,131,1405.9
E07000008,Cambridge,ltla,2022-01-24,20_24,40,185,918.4
E07000008,Cambridge,ltla,2022-01-24,25_29,33,163,1307.7
E07000008,Cambridge,ltla,2022-01-24,30_34,25,162,2214.9
E07000008,Cambridge,ltla,2022-01-24,35_39,33,194,2959.6
E07000008,Cambridge,ltla,2022-01-24,40_44,27,209,3085.3
E07000008,Cambridge,ltla,2022-01-24,45_49,22,129,1959.0
E07000008,Cambridge,ltla,2022-01-24,50_54,17,75,1091.7
E07000008,Cambridge,ltla,2022-01-24,55_59,14,47,739.1
E07000008,Cambridge,ltla,2022-01-24,60+,23,107,491.2
E07000008,Cambridge,ltla,2022-01-24,60_64,5,24,467.5
E07000008,Cambridge,ltla,2022-01-24,65_69,1,20,439.7
E07000008,Cambridge,ltla,2022-01-24,70_74,2,14,346.9
E07000008,Cambridge,ltla,2022-01-24,75_79,1,9,302.0
E07000008,Cambridge,ltla,2022-01-24,80_84,4,18,782.6
E07000008,Cambridge,ltla,2022-01-24,85_89,4,12,736.2
E07000008,Cambridge,ltla,2022-01-24,90+,6,10,867.3
E07000008,Cambridge,ltla,2022-01-24,unassigned,0,0,
E07000008,Cambridge,ltla,2022-01-23,00_04,13,92,1336.0
E07000008,Cambridge,ltla,2022-01-23,00_59,292,1945,1883.2
