areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2022-01-25,00_04,2962,23939,739.0
E92000001,England,nation,2022-01-25,00_59,77491,505994,1179.8
E92000001,England,nation,2022-01-25,05_09,11487,82903,2342.3
E92000001,England,nation,2022-01-25,10_14,11742,74357,2164.3
E92000001,England,nation,2022-01-25,15_19,5456,32471,1042.1
E92000001,England,nation,2022-01-25,20_24,4194,25164,724.7
E92000001,England,nation,2022-01-25,25_29,5283,33407,885.8
E92000001,England,nation,2022-01-25,30_34,6929,45926,1200.8
E92000001,England,nation,2022-01-25,35_39,8280,54007,1444.7
E92000001,England,nation,2022-01-25,40_44,7852,50001,1438.3
E92000001,England,nation,2022-01-25,45_49,5688,35506,975.8
E92000001,England,nation,2022-01-25,50_54,4280,27112,699.6
E92000001,England,nation,2022-01-25,55_59,3338,21201,563.6
E92000001,England,nation,2022-01-25,60+,7921,50275,368.0
E92000001,England,nation,2022-01-25,60_64,2428,15765,493.1
E92000001,England,nation,2022-01-25,65_69,1679,10619,381.4
E92000001,England,nation,2022-01-25,70_74,1299,8314,295.4
E92000001,England,nation,2022-01-25,75_79,970,5785,287.8
E92000001,England,nation,2022-01-25,80_84,639,3895,268.8
E92000001,England,nation,2022-01-25,85_89,470,3083,348.2
E92000001,England,nation,2022-01-25,90+,436,2814,540.0
E92000001,England,nation,2022-01-25,unassigned,24,331,
E92000001,England,nation,2022-01-24,00_04,3660,25738,794.5
E92000001,England,nation,2022-01-24,00_59,87412,511842,1193.4
E92000001,England,nation,2022-01-24,05_09,14473,85758,2422.9
E92000001,England,nation,2022-01-24,10_14,14027,74016,2154.4
E92000001,England,nation,2022-01-24,15_19,5833,32056,1028.8
E92000001,England,nation,2022-01-24,20_24,4206,25247,727.1
E92000001,England,nation,2022-01-24,25_29,5578,34043,902.6
E92000001,England,nation,2022-01-24,30_34,7659,46862,1225.3
E92000001,England,nation,2022-01-24,35_39,9059,54658,1462.1
E92000001,England,nation,2022-01-24,40_44,8391,50034,1439.3
E92000001,England,nation,2022-01-24,45_49,6013,35231,968.2
E92000001,England,nation,2022-01-24,50_54,4733,27011,697.0
E92000001,England,nation,2022-01-24,55_59,3780,21188,563.2
E92000001,England,nation,2022-01-24,60+,8475,50418,369.1
E92000001,England,nation,2022-01-24,60_64,2637,15887,497.0
E92000001,England,nation,2022-01-24,65_69,1711,10610,381.1
E92000001,England,nation,2022-01-24,70_74,1324,8292,294.7
E92000001,England,nation,2022-01-24,75_79,944,5697,283.4
E92000001,England,nation,2022-01-24,80_84,716,3900,269.1
E92000001,England,nation,2022-01-24,85_89,592,3192,360.5
E92000001,England,nation,2022-01-24,90+,551,2840,545.0
E92000001,England,nation,2022-01-24,unassigned,25,380,
E92000001,England,nation,2022-01-23,00_04,3105,27508,849.2
E92000001,England,nation,2022-01-23,00_59,72314,516747,1204.8
E92000001,England,nation,2022-01-23,05_09,12335,88408,2497.8
E92000001,England,nation,2022-01-23,10_14,12167,72858,2120.7
E92000001,England,nation,2022-01-23,15_19,4898,31850,1022.2
E92000001,England,nation,2022-01-23,20_24,3301,25628,738.0
E92000001,England,nation,2022-01-23,25_29,4326,34991,927.8
E92000001,England,nation,2022-01-23,30_34,6209,47582,1244.1
E92000001,England,nation,2022-01-23,35_39,7281,54819,1466.5
E92000001,England,nation,2022-01-23,40_44,6842,49707,1429.9
E92000001,England,nation,2022-01-23,45_49,4975,34964,960.9
E92000001,England,nation,2022-01-23,50_54,3871,27055,698.1
E92000001,England,nation,2022-01-23,55_59,3004,21377,568.3
E92000001,England,nation,2022-01-23,60+,6158,51186,374.7
E92000001,England,nation,2022-01-23,60_64,2169,16096,503.5
E92000001,England,nation,2022-01-23,65_69,1332,10623,381.5
E92000001,England,nation,2022-01-23,70_74,1058,8386,298.0
E92000001,England,nation,2022-01-23,75_79,709,5846,290.8
E92000001,England,nation,2022-01-23,80_84,389,3970,273.9
E92000001,England,nation,2022-01-23,85_89,274,3267,369.0
E92000001,England,nation,2022-01-23,90+,227,2998,575.4
E92000001,England,nation,2022-01-23,unassigned,52,459,
E92000001,England,nation,2022-01-22,00_04,2964,28690,885.6
E92000001,England,nation,2022-01-22,00_59,57222,514360,1199.3
E92000001,England,nation,2022-01-22,05_09,10147,89092,2517.1
E92000001,England,nation,2022-01-22,10_14,8423,70925,2064.4
E92000001,England,nation,2022-01-22,15_19,3520,31403,1007.8
E92000001,England,nation,2022-01-22,20_24,2667,25790,742.7
E92000001,England,nation,2022-01-22,25_29,3538,35231,934.1
E92000001,England,nation,2022-01-22,30_34,5074,47607,1244.7
E92000001,England,nation,2022-01-22,35_39,6031,54126,1447.9
E92000001,England,nation,2022-01-22,40_44,5525,48858,1405.5
E92000001,England,nation,2022-01-22,45_49,4050,34423,946.0
E92000001,England,nation,2022-01-22,50_54,2995,26872,693.4
E92000001,England,nation,2022-01-22,55_59,2288,21343,567.4
E92000001,England,nation,2022-01-22,60+,5570,51220,374.9
E92000001,England,nation,2022-01-22,60_64,1801,16042,501.8
E92000001,England,nation,2022-01-22,65_69,1219,10609,381.0
E92000001,England,nation,2022-01-22,70_74,964,8311,295.3
E92000001,England,nation,2022-01-22,75_79,652,5829,290.0
E92000001,England,nation,2022-01-22,80_84,412,4027,277.9
E92000001,England,nation,2022-01-22,85_89,265,3347,378.0
E92000001,England,nation,2022-01-22,90+,257,3055,586.3
E92000001,England,nation,2022-01-22,unassigned,35,480,
E92000001,England,nation,2022-01-21,00_04,3357,29388,907.2
E92000001,England,nation,2022-01-21,00_59,63214,511799,1193.3
E92000001,England,nation,2022-01-21,05_09,11221,88607,2503.4
E92000001,England,nation,2022-01-21,10_14,8784,69401,2020.1
E92000001,England,nation,2022-01-21,15_19,3739,31260,1003.3
E92000001,England,nation,2022-01-21,20_24,3145,26067,750.7
E92000001,England,nation,2022-01-21,25_29,4219,35663,945.6
E92000001,England,nation,2022-01-21,30_34,5569,47616,1245.0
E92000001,England,nation,2022-01-21,35_39,6668,53629,1434.6
E92000001,England,nation,2022-01-21,40_44,6127,47927,1378.7
E92000001,England,nation,2022-01-21,45_49,4339,33808,929.1
E92000001,England,nation,2022-01-21,50_54,3398,26858,693.0
E92000001,England,nation,2022-01-21,55_59,2648,21575,573.5
E92000001,England,nation,2022-01-21,60+,6993,51752,378.8
E92000001,England,nation,2022-01-21,60_64,2047,16218,507.3
E92000001,England,nation,2022-01-21,65_69,1455,10657,382.8
E92000001,England,nation,2022-01-21,70_74,1195,8314,295.4
E92000001,England,nation,2022-01-21,75_79,799,5939,295.5
E92000001,England,nation,2022-01-21,80_84,591,4106,283.3
E92000001,England,nation,2022-01-21,85_89,480,3443,388.9
E92000001,England,nation,2022-01-21,90+,426,3075,590.1
E92000001,England,nation,2022-01-21,unassigned,33,515,
E92000001,England,nation,2022-01-20,00_04,3657,29786,919.5
E92000001,England,nation,2022-01-20,00_59,69969,507818,1184.0
E92000001,England,nation,2022-01-20,05_09,11427,86903,2455.3
E92000001,England,nation,2022-01-20,10_14,9306,67636,1968.7
E92000001,England,nation,2022-01-20,15_19,4189,31272,1003.6
E92000001,England,nation,2022-01-20,20_24,3491,26535,764.1
E92000001,England,nation,2022-01-20,25_29,4838,36082,956.7
E92000001,England,nation,2022-01-20,30_34,6769,47811,1250.1
E92000001,England,nation,2022-01-20,35_39,7721,52857,1414.0
E92000001,England,nation,2022-01-20,40_44,7129,46839,1347.4
E92000001,England,nation,2022-01-20,45_49,4952,33377,917.3
E92000001,England,nation,2022-01-20,50_54,3677,26907,694.3
E92000001,England,nation,2022-01-20,55_59,2813,21813,579.9
E92000001,England,nation,2022-01-20,60+,7266,52520,384.5
E92000001,England,nation,2022-01-20,60_64,2200,16491,515.9
E92000001,England,nation,2022-01-20,65_69,1539,10710,384.7
E92000001,England,nation,2022-01-20,70_74,1174,8308,295.2
E92000001,England,nation,2022-01-20,75_79,838,6105,303.7
E92000001,England,nation,2022-01-20,80_84,585,4196,289.5
E92000001,England,nation,2022-01-20,85_89,479,3527,398.4
E92000001,England,nation,2022-01-20,90+,451,3183,610.9
E92000001,England,nation,2022-01-20,unassigned,87,502,
E92000001,England,nation,2022-01-19,00_04,4234,29919,923.6
E92000001,England,nation,2022-01-19,00_59,78372,504007,1175.1
E92000001,England,nation,2022-01-19,05_09,11813,84451,2386.0
E92000001,England,nation,2022-01-19,10_14,9908,65680,1911.8
E92000001,England,nation,2022-01-19,15_19,4836,31446,1009.2
E92000001,England,nation,2022-01-19,20_24,4160,27438,790.1
E92000001,England,nation,2022-01-19,25_29,5625,36905,978.5
E92000001,England,nation,2022-01-19,30_34,7717,47970,1254.2
E92000001,England,nation,2022-01-19,35_39,8967,52012,1391.4
E92000001,England,nation,2022-01-19,40_44,8135,45697,1314.5
E92000001,England,nation,2022-01-19,45_49,5489,32855,902.9
E92000001,England,nation,2022-01-19,50_54,4158,27281,704.0
E92000001,England,nation,2022-01-19,55_59,3330,22353,594.2
E92000001,England,nation,2022-01-19,60+,7892,53852,394.2
E92000001,England,nation,2022-01-19,60_64,2483,16975,531.0
E92000001,England,nation,2022-01-19,65_69,1684,10878,390.7
E92000001,England,nation,2022-01-19,70_74,1300,8462,300.7
E92000001,England,nation,2022-01-19,75_79,873,6215,309.2
E92000001,England,nation,2022-01-19,80_84,563,4363,301.1
E92000001,England,nation,2022-01-19,85_89,523,3656,412.9
E92000001,England,nation,2022-01-19,90+,466,3303,633.9
E92000001,England,nation,2022-01-19,unassigned,75,449,
E92000001,England,nation,2022-01-18,00_04,4761,29120,898.9
E92000001,England,nation,2022-01-18,00_59,83339,495806,1156.0
E92000001,England,nation,2022-01-18,05_09,14342,80645,2278.5
E92000001,England,nation,2022-01-18,10_14,11401,62883,1830.3
E92000001,England,nation,2022-01-18,15_19,5041,31428,1008.6
E92000001,England,nation,2022-01-18,20_24,4277,28589,823.3
E92000001,England,nation,2022-01-18,25_29,5919,37797,1002.2
E92000001,England,nation,2022-01-18,30_34,7865,48002,1255.1
E92000001,England,nation,2022-01-18,35_39,8931,50534,1351.8
E92000001,England,nation,2022-01-18,40_44,7885,43861,1261.7
E92000001,England,nation,2022-01-18,45_49,5413,32308,887.9
E92000001,England,nation,2022-01-18,50_54,4179,27679,714.2
E92000001,England,nation,2022-01-18,55_59,3325,22960,610.3
E92000001,England,nation,2022-01-18,60+,8064,55443,405.9
E92000001,England,nation,2022-01-18,60_64,2550,17547,548.9
E92000001,England,nation,2022-01-18,65_69,1670,11113,399.1
E92000001,England,nation,2022-01-18,70_74,1277,8620,306.3
E92000001,England,nation,2022-01-18,75_79,882,6444,320.6
E92000001,England,nation,2022-01-18,80_84,644,4568,315.2
E92000001,England,nation,2022-01-18,85_89,579,3732,421.5
E92000001,England,nation,2022-01-18,90+,462,3419,656.2
E92000001,England,nation,2022-01-18,unassigned,73,438,
E92000001,England,nation,2022-01-17,00_04,5430,28377,876.0
E92000001,England,nation,2022-01-17,00_59,92317,491476,1145.9
E92000001,England,nation,2022-01-17,05_09,17123,75838,2142.6
E92000001,England,nation,2022-01-17,10_14,12869,59624,1735.5
E92000001,England,nation,2022-01-17,15_19,5627,32050,1028.6
E92000001,England,nation,2022-01-17,20_24,4587,30289,872.2
E92000001,England,nation,2022-01-17,25_29,6526,39291,1041.8
E92000001,England,nation,2022-01-17,30_34,8379,48527,1268.8
E92000001,England,nation,2022-01-17,35_39,9220,49600,1326.8
E92000001,England,nation,2022-01-17,40_44,8064,42752,1229.8
E92000001,England,nation,2022-01-17,45_49,5746,32311,888.0
E92000001,England,nation,2022-01-17,50_54,4777,28765,742.3
E92000001,England,nation,2022-01-17,55_59,3969,24052,639.4
E92000001,England,nation,2022-01-17,60+,9243,57884,423.7
E92000001,England,nation,2022-01-17,60_64,2846,18318,573.0
E92000001,England,nation,2022-01-17,65_69,1724,11491,412.7
E92000001,England,nation,2022-01-17,70_74,1418,8987,319.4
E92000001,England,nation,2022-01-17,75_79,1093,6789,337.8
E92000001,England,nation,2022-01-17,80_84,786,4842,334.1
E92000001,England,nation,2022-01-17,85_89,667,3840,433.7
E92000001,England,nation,2022-01-17,90+,709,3617,694.2
E92000001,England,nation,2022-01-17,unassigned,104,435,
E92000001,England,nation,2022-01-16,00_04,4287,27288,842.4
E92000001,England,nation,2022-01-16,00_59,69927,489164,1140.5
E92000001,England,nation,2022-01-16,05_09,13019,69279,1957.3
E92000001,England,nation,2022-01-16,10_14,10234,55647,1619.7
E92000001,England,nation,2022-01-16,15_19,4451,33296,1068.6
E92000001,England,nation,2022-01-16,20_24,3463,32875,946.7
E92000001,England,nation,2022-01-16,25_29,4566,41295,1094.9
E92000001,England,nation,2022-01-16,30_34,6234,49436,1292.6
E92000001,England,nation,2022-01-16,35_39,6588,49068,1312.6
E92000001,England,nation,2022-01-16,40_44,5993,42309,1217.1
E92000001,England,nation,2022-01-16,45_49,4434,32783,901.0
E92000001,England,nation,2022-01-16,50_54,3688,30229,780.0
E92000001,England,nation,2022-01-16,55_59,2970,25659,682.1
E92000001,England,nation,2022-01-16,60+,6192,61339,449.0
E92000001,England,nation,2022-01-16,60_64,2115,19552,611.6
E92000001,England,nation,2022-01-16,65_69,1318,12265,440.5
E92000001,England,nation,2022-01-16,70_74,983,9546,339.2
E92000001,England,nation,2022-01-16,75_79,692,7182,357.3
E92000001,England,nation,2022-01-16,80_84,446,5096,351.6
E92000001,England,nation,2022-01-16,85_89,354,4013,453.3
E92000001,England,nation,2022-01-16,90+,284,3685,707.2
E92000001,England,nation,2022-01-16,unassigned,73,415,
E92000001,England,nation,2022-01-15,00_04,3662,26002,802.7
E92000001,England,nation,2022-01-15,00_59,54661,483940,1128.3
E92000001,England,nation,2022-01-15,05_09,9662,63048,1781.3
E92000001,England,nation,2022-01-15,10_14,6899,51783,1507.3
E92000001,England,nation,2022-01-15,15_19,3377,33957,1089.8
E92000001,England,nation,2022-01-15,20_24,2944,34768,1001.2
E92000001,England,nation,2022-01-15,25_29,3970,42809,1135.1
E92000001,England,nation,2022-01-15,30_34,5083,49899,1304.7
E92000001,England,nation,2022-01-15,35_39,5534,48682,1302.3
E92000001,England,nation,2022-01-15,40_44,4594,41799,1202.4
E92000001,England,nation,2022-01-15,45_49,3435,33017,907.4
E92000001,England,nation,2022-01-15,50_54,2981,31330,808.4
E92000001,England,nation,2022-01-15,55_59,2520,26846,713.7
E92000001,England,nation,2022-01-15,60+,6102,64067,469.0
E92000001,England,nation,2022-01-15,60_64,1977,20472,640.4
E92000001,England,nation,2022-01-15,65_69,1267,12887,462.8
E92000001,England,nation,2022-01-15,70_74,967,9968,354.2
E92000001,England,nation,2022-01-15,75_79,762,7538,375.0
E92000001,England,nation,2022-01-15,80_84,491,5302,365.9
E92000001,England,nation,2022-01-15,85_89,361,4100,463.1
E92000001,England,nation,2022-01-15,90+,277,3800,729.3
E92000001,England,nation,2022-01-15,unassigned,70,389,
E92000001,England,nation,2022-01-14,00_04,3755,25038,772.9
E92000001,England,nation,2022-01-14,00_59,59233,491785,1146.6
E92000001,England,nation,2022-01-14,05_09,9517,58890,1663.8
E92000001,England,nation,2022-01-14,10_14,7019,49797,1449.5
E92000001,England,nation,2022-01-14,15_19,3751,35543,1140.7
E92000001,England,nation,2022-01-14,20_24,3613,37666,1084.7
E92000001,England,nation,2022-01-14,25_29,4638,45353,1202.5
E92000001,England,nation,2022-01-14,30_34,5764,51505,1346.7
