areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E09000007,Camden,ltla,2022-01-25,00_04,10,99,698.5
E09000007,Camden,ltla,2022-01-25,00_59,337,1916,817.0
E09000007,Camden,ltla,2022-01-25,05_09,43,227,1389.7
E09000007,Camden,ltla,2022-01-25,10_14,32,152,996.8
E09000007,Camden,ltla,2022-01-25,15_19,41,178,1135.6
E09000007,Camden,ltla,2022-01-25,20_24,31,216,902.5
E09000007,Camden,ltla,2022-01-25,25_29,32,200,656.7
E09000007,Camden,ltla,2022-01-25,30_34,31,157,544.9
E09000007,Camden,ltla,2022-01-25,35_39,35,206,900.0
E09000007,Camden,ltla,2022-01-25,40_44,37,193,1004.1
E09000007,Camden,ltla,2022-01-25,45_49,24,151,860.2
E09000007,Camden,ltla,2022-01-25,50_54,14,81,492.0
E09000007,Camden,ltla,2022-01-25,55_59,7,56,406.7
E09000007,Camden,ltla,2022-01-25,60+,25,157,349.0
E09000007,Camden,ltla,2022-01-25,60_64,7,55,482.9
E09000007,Camden,ltla,2022-01-25,65_69,4,32,343.2
E09000007,Camden,ltla,2022-01-25,70_74,6,34,385.7
E09000007,Camden,ltla,2022-01-25,75_79,3,16,253.6
E09000007,Camden,ltla,2022-01-25,80_84,2,9,205.3
E09000007,Camden,ltla,2022-01-25,85_89,2,6,220.3
E09000007,Camden,ltla,2022-01-25,90+,1,5,244.6
E09000007,Camden,ltla,2022-01-25,unassigned,0,4,
E09000007,Camden,ltla,2022-01-24,00_04,20,105,740.8
E09000007,Camden,ltla,2022-01-24,00_59,336,1862,793.9
E09000007,Camden,ltla,2022-01-24,05_09,44,226,1383.6
E09000007,Camden,ltla,2022-01-24,10_14,25,143,937.8
E09000007,Camden,ltla,2022-01-24,15_19,35,160,1020.8
E09000007,Camden,ltla,2022-01-24,20_24,38,213,890.0
E09000007,Camden,ltla,2022-01-24,25_29,30,202,663.3
E09000007,Camden,ltla,2022-01-24,30_34,27,157,544.9
E09000007,Camden,ltla,2022-01-24,35_39,28,195,851.9
E09000007,Camden,ltla,2022-01-24,40_44,37,183,952.1
E09000007,Camden,ltla,2022-01-24,45_49,30,143,814.6
E09000007,Camden,ltla,2022-01-24,50_54,16,78,473.8
E09000007,Camden,ltla,2022-01-24,55_59,6,57,413.9
E09000007,Camden,ltla,2022-01-24,60+,32,153,340.1
E09000007,Camden,ltla,2022-01-24,60_64,6,51,447.8
E09000007,Camden,ltla,2022-01-24,65_69,6,32,343.2
E09000007,Camden,ltla,2022-01-24,70_74,9,37,419.8
E09000007,Camden,ltla,2022-01-24,75_79,5,16,253.6
E09000007,Camden,ltla,2022-01-24,80_84,2,7,159.7
E09000007,Camden,ltla,2022-01-24,85_89,3,5,183.6
E09000007,Camden,ltla,2022-01-24,90+,1,5,244.6
E09000007,Camden,ltla,2022-01-24,unassigned,0,6,
E09000007,Camden,ltla,2022-01-23,00_04,17,109,769.0
E09000007,Camden,ltla,2022-01-23,00_59,258,1809,771.3
E09000007,Camden,ltla,2022-01-23,05_09,25,224,1371.4
E09000007,Camden,ltla,2022-01-23,10_14,24,136,891.9
E09000007,Camden,ltla,2022-01-23,15_19,24,151,963.4
E09000007,Camden,ltla,2022-01-23,20_24,29,208,869.1
E09000007,Camden,ltla,2022-01-23,25_29,22,202,663.3
E09000007,Camden,ltla,2022-01-23,30_34,20,159,551.9
E09000007,Camden,ltla,2022-01-23,35_39,23,186,812.6
E09000007,Camden,ltla,2022-01-23,40_44,19,172,894.9
E09000007,Camden,ltla,2022-01-23,45_49,31,127,723.4
E09000007,Camden,ltla,2022-01-23,50_54,11,77,467.7
E09000007,Camden,ltla,2022-01-23,55_59,13,58,421.2
E09000007,Camden,ltla,2022-01-23,60+,22,148,329.0
E09000007,Camden,ltla,2022-01-23,60_64,5,55,482.9
E09000007,Camden,ltla,2022-01-23,65_69,4,32,343.2
E09000007,Camden,ltla,2022-01-23,70_74,7,31,351.7
E09000007,Camden,ltla,2022-01-23,75_79,3,13,206.1
E09000007,Camden,ltla,2022-01-23,80_84,2,9,205.3
E09000007,Camden,ltla,2022-01-23,85_89,1,3,110.1
E09000007,Camden,ltla,2022-01-23,90+,0,5,244.6
E09000007,Camden,ltla,2022-01-23,unassigned,2,9,
E09000007,Camden,ltla,2022-01-22,00_04,16,110,776.1
E09000007,Camden,ltla,2022-01-22,00_59,221,1778,758.1
E09000007,Camden,ltla,2022-01-22,05_09,29,232,1420.4
E09000007,Camden,ltla,2022-01-22,10_14,11,131,859.1
E09000007,Camden,ltla,2022-01-22,15_19,13,145,925.1
E09000007,Camden,ltla,2022-01-22,20_24,28,203,848.2
E09000007,Camden,ltla,2022-01-22,25_29,19,200,656.7
E09000007,Camden,ltla,2022-01-22,30_34,17,158,548.4
E09000007,Camden,ltla,2022-01-22,35_39,27,187,817.0
E09000007,Camden,ltla,2022-01-22,40_44,22,176,915.7
E09000007,Camden,ltla,2022-01-22,45_49,16,114,649.4
