areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E10000003,Cambridgeshire,utla,2022-01-22,40_44,99,766,1856.9
E10000003,Cambridgeshire,utla,2022-01-22,45_49,64,548,1242.2
E10000003,Cambridgeshire,utla,2022-01-22,50_54,51,343,741.8
E10000003,Cambridgeshire,utla,2022-01-22,55_59,21,249,562.2
E10000003,Cambridgeshire,utla,2022-01-22,60+,64,627,381.4
E10000003,Cambridgeshire,utla,2022-01-22,60_64,16,161,434.3
E10000003,Cambridgeshire,utla,2022-01-22,65_69,12,127,379.6
E10000003,Cambridgeshire,utla,2022-01-22,70_74,13,99,286.6
E10000003,Cambridgeshire,utla,2022-01-22,75_79,10,70,285.9
E10000003,Cambridgeshire,utla,2022-01-22,80_84,7,61,354.6
E10000003,Cambridgeshire,utla,2022-01-22,85_89,4,43,398.6
E10000003,Cambridgeshire,utla,2022-01-22,90+,2,66,963.9
E10000003,Cambridgeshire,utla,2022-01-22,unassigned,0,1,
E10000003,Cambridgeshire,utla,2022-01-21,00_04,48,454,1257.4
E10000003,Cambridgeshire,utla,2022-01-21,00_59,1004,7652,1552.7
E10000003,Cambridgeshire,utla,2022-01-21,05_09,220,1603,3951.7
E10000003,Cambridgeshire,utla,2022-01-21,10_14,150,1134,2886.4
E10000003,Cambridgeshire,utla,2022-01-21,15_19,45,410,1105.7
E10000003,Cambridgeshire,utla,2022-01-21,20_24,63,399,916.1
E10000003,Cambridgeshire,utla,2022-01-21,25_29,70,471,1177.9
E10000003,Cambridgeshire,utla,2022-01-21,30_34,70,613,1546.7
E10000003,Cambridgeshire,utla,2022-01-21,35_39,86,761,1869.7
E10000003,Cambridgeshire,utla,2022-01-21,40_44,95,722,1750.3
E10000003,Cambridgeshire,utla,2022-01-21,45_49,74,512,1160.6
E10000003,Cambridgeshire,utla,2022-01-21,50_54,45,322,696.4
E10000003,Cambridgeshire,utla,2022-01-21,55_59,38,251,566.7
E10000003,Cambridgeshire,utla,2022-01-21,60+,94,628,382.0
E10000003,Cambridgeshire,utla,2022-01-21,60_64,31,169,455.9
E10000003,Cambridgeshire,utla,2022-01-21,65_69,25,129,385.5
E10000003,Cambridgeshire,utla,2022-01-21,70_74,14,95,275.0
E10000003,Cambridgeshire,utla,2022-01-21,75_79,6,68,277.7
E10000003,Cambridgeshire,utla,2022-01-21,80_84,6,61,354.6
E10000003,Cambridgeshire,utla,2022-01-21,85_89,5,40,370.8
E10000003,Cambridgeshire,utla,2022-01-21,90+,7,66,963.9
